,eleStream,disStream,wSlope,streamSlope,flowLength,area,twi,spi,tpi,wNdvi,wCN,wInfiRate,dem,wDem,profCurvature,planCurvature,raster_max,raster_3h_max,raster_6h_max,raster_24h_max
wCN,0.07612517805326074,0.0975854001132756,0.20857191826625307,0.13811157093049126,0.19886521830908893,0.10833871807710181,0.13015621191716736,0.19134800783805542,0.022259343331705476,0.5230443216503402,1.0,0.027012971755896623,0.27434070754987594,0.3323963841986343,0.042863425793253286,0.004412633370183527,0.16465413731601633,0.1046467220213154,0.005753241076278938,0.07658491207320535
wInfiRate,0.0845054347084949,0.05777634970402362,0.05825905001647774,0.010993786232967595,0.03352843976669676,0.05649306876797675,0.0384702399586295,0.027064773595890785,0.06646010484974955,0.035608572168174264,0.027012971755896623,1.0,0.002288279981260545,0.041381536129433884,0.08663507951712265,0.0029327991081591048,0.16335366797911927,0.1303893287742201,0.14230342411656222,0.08411097516991921
dem,0.29748983975219767,0.053053870153717535,0.17825978554206018,0.18436463692075167,0.0597516128433502,0.15958405685890065,0.049661393478144064,0.0012542874704851794,0.041773672176492756,0.43048029257989,0.27434070754987594,0.002288279981260545,1.0,0.8997812949162756,0.19152680265478805,0.012917200042853664,0.1483542048364011,0.09166652856799198,0.10474023820395995,0.1381155791948685
wDem,0.20817188528394254,0.22173045774272063,0.27945444175155715,0.14980865974965235,0.3612179740358727,0.22705867426903456,0.27528013992540323,0.3941499809841483,0.008116117226882007,0.5114849768386286,0.3323963841986343,0.041381536129433884,0.8997812949162756,1.0,0.14583040359879107,0.0007971099152804369,0.23179230943573467,0.19039200033716516,0.19154892410568,0.18452844769289717
profCurvature,0.26300304259908414,0.08444443640217712,0.12671110725058982,0.1186363560392124,0.04811558392026968,0.09450103936191463,0.035057743942281006,0.03696258088141856,0.18763543813658465,0.04718505360203721,0.042863425793253286,0.08663507951712265,0.19152680265478805,0.14583040359879107,1.0,0.024134246540144007,0.05095308021791023,0.04562498563659593,0.01752116382459567,0.01151523676437101
planCurvature,0.046768557246190647,0.06744173362596087,0.005060274296761749,0.007196823002342777,0.039359327098522044,0.021288252468916878,0.05766813733592887,0.037767877106571625,0.004933993803244253,0.016797554664124796,0.004412633370183527,0.0029327991081591048,0.012917200042853664,0.0007971099152804369,0.024134246540144007,1.0,0.004668597446878395,0.00967094146029245,0.030838872774866622,0.032289010229387155
raster_max,0.1340422325352368,0.0888508867914619,0.14290802308169523,0.046080106448064394,0.2516040530083284,0.2245632235537186,0.24791392515229396,0.25480290104338205,0.007687130825657059,0.3191810231322733,0.16465413731601633,0.16335366797911927,0.1483542048364011,0.23179230943573467,0.05095308021791023,0.004668597446878395,1.0,0.9012552343821445,0.6173224111667389,0.36057496072043593
raster_3h_max,0.11693716071541013,0.10326019818369635,0.13283813180548737,0.024661076467029787,0.24548044733223912,0.241498227023604,0.25199718016204237,0.2605762717702483,0.08369448037110695,0.2973066112225836,0.1046467220213154,0.1303893287742201,0.09166652856799198,0.19039200033716516,0.04562498563659593,0.00967094146029245,0.9012552343821445,1.0,0.797137078719313,0.6031516454066125
raster_6h_max,0.06581819662444932,0.0973399881256998,0.058449365940825185,0.024503855196000845,0.20311350349598437,0.21095774176578666,0.22878429990300905,0.2211982239590662,0.15430513343586416,0.16310885347325516,0.005753241076278938,0.14230342411656222,0.10474023820395995,0.19154892410568,0.01752116382459567,0.030838872774866622,0.6173224111667389,0.797137078719313,1.0,0.9030531071254378
raster_24h_max,0.0565730144705034,0.058243335962580765,0.04361878751122592,0.006459079071364336,0.12198097328877013,0.09831193569906004,0.1469974711207266,0.12847136688608263,0.16378571547261755,0.0886277320586925,0.07658491207320535,0.08411097516991921,0.1381155791948685,0.18452844769289717,0.01151523676437101,0.032289010229387155,0.36057496072043593,0.6031516454066125,0.9030531071254378,1.0
